         936424 function calls (912869 primitive calls) in 7.781 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <decorator-gen-0>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-10>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-1>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-2>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-3>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-4>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-5>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-6>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-7>:1(<module>)
        3    0.000    0.000    0.002    0.001 <decorator-gen-7>:1(_held_figure)
        1    0.000    0.000    0.000    0.000 <decorator-gen-8>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-9>:1(<module>)
     2534    0.024    0.000    0.024    0.000 <frozen importlib._bootstrap>:102(release)
     1747    0.005    0.000    0.005    0.000 <frozen importlib._bootstrap>:142(__init__)
     1747    0.016    0.000    0.086    0.000 <frozen importlib._bootstrap>:146(__enter__)
     1747    0.007    0.000    0.025    0.000 <frozen importlib._bootstrap>:153(__exit__)
     2534    0.040    0.000    0.054    0.000 <frozen importlib._bootstrap>:159(_get_module_lock)
     1715    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:173(cb)
      787    0.009    0.000    0.031    0.000 <frozen importlib._bootstrap>:178(_lock_unlock_module)
   1894/1    0.006    0.000    7.785    7.785 <frozen importlib._bootstrap>:197(_call_with_frames_removed)
    14284    0.030    0.000    0.030    0.000 <frozen importlib._bootstrap>:208(_verbose_message)
     1420    0.004    0.000    0.004    0.000 <frozen importlib._bootstrap>:293(__init__)
     1420    0.004    0.000    0.004    0.000 <frozen importlib._bootstrap>:297(__enter__)
     1420    0.016    0.000    0.035    0.000 <frozen importlib._bootstrap>:304(__exit__)
     5676    0.010    0.000    0.010    0.000 <frozen importlib._bootstrap>:307(<genexpr>)
     1293    0.004    0.000    0.004    0.000 <frozen importlib._bootstrap>:35(_new_module)
     1879    0.016    0.000    0.016    0.000 <frozen importlib._bootstrap>:355(__init__)
     2713    0.012    0.000    0.093    0.000 <frozen importlib._bootstrap>:389(cached)
     3558    0.010    0.000    0.012    0.000 <frozen importlib._bootstrap>:402(parent)
     1420    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:410(has_location)
       10    0.000    0.000    0.056    0.006 <frozen importlib._bootstrap>:419(spec_from_loader)
     1420    0.050    0.000    0.159    0.000 <frozen importlib._bootstrap>:493(_init_module_attrs)
1420/1222    0.017    0.000    1.647    0.001 <frozen importlib._bootstrap>:553(module_from_spec)
     1715    0.012    0.000    0.014    0.000 <frozen importlib._bootstrap>:57(__init__)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:612(_load_backward_compatible)
   1430/2    0.028    0.000    7.778    3.889 <frozen importlib._bootstrap>:641(_load_unlocked)
     1640    0.004    0.000    0.005    0.000 <frozen importlib._bootstrap>:698(find_spec)
