         936436 function calls (912881 primitive calls) in 7.135 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <decorator-gen-0>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-10>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-1>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-2>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-3>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-4>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-5>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-6>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-7>:1(<module>)
        3    0.000    0.000    0.002    0.001 <decorator-gen-7>:1(_held_figure)
        1    0.000    0.000    0.000    0.000 <decorator-gen-8>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-9>:1(<module>)
     2534    0.022    0.000    0.022    0.000 <frozen importlib._bootstrap>:102(release)
     1747    0.005    0.000    0.005    0.000 <frozen importlib._bootstrap>:142(__init__)
     1747    0.014    0.000    0.079    0.000 <frozen importlib._bootstrap>:146(__enter__)
     1747    0.006    0.000    0.023    0.000 <frozen importlib._bootstrap>:153(__exit__)
     2534    0.038    0.000    0.051    0.000 <frozen importlib._bootstrap>:159(_get_module_lock)
     1715    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:173(cb)
      787    0.008    0.000    0.028    0.000 <frozen importlib._bootstrap>:178(_lock_unlock_module)
   1894/1    0.005    0.000    7.139    7.139 <frozen importlib._bootstrap>:197(_call_with_frames_removed)
    14284    0.027    0.000    0.027    0.000 <frozen importlib._bootstrap>:208(_verbose_message)
     1420    0.004    0.000    0.004    0.000 <frozen importlib._bootstrap>:293(__init__)
     1420    0.004    0.000    0.004    0.000 <frozen importlib._bootstrap>:297(__enter__)
     1420    0.014    0.000    0.031    0.000 <frozen importlib._bootstrap>:304(__exit__)
     5676    0.009    0.000    0.009    0.000 <frozen importlib._bootstrap>:307(<genexpr>)
     1293    0.004    0.000    0.004    0.000 <frozen importlib._bootstrap>:35(_new_module)
     1879    0.017    0.000    0.017    0.000 <frozen importlib._bootstrap>:355(__init__)
     2713    0.011    0.000    0.084    0.000 <frozen importlib._bootstrap>:389(cached)
     3558    0.009    0.000    0.010    0.000 <frozen importlib._bootstrap>:402(parent)
     1420    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:410(has_location)
       10    0.000    0.000    0.049    0.005 <frozen importlib._bootstrap>:419(spec_from_loader)
     1420    0.046    0.000    0.143    0.000 <frozen importlib._bootstrap>:493(_init_module_attrs)
1420/1222    0.015    0.000    1.479    0.001 <frozen importlib._bootstrap>:553(module_from_spec)
     1715    0.011    0.000    0.013    0.000 <frozen importlib._bootstrap>:57(__init__)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:612(_load_backward_compatible)
   1430/2    0.024    0.000    7.136    3.568 <frozen importlib._bootstrap>:641(_load_unlocked)
     1640    0.004    0.000    0.004    0.000 <frozen importlib._bootstrap>:698(find_spec)
